35108:
 num     #instances         #bytes  class name (module)
 331:             1           4112  [Ljava.lang.classfile.constantpool.PoolEntry; (java.base@25)
 332:           171           4104  java.util.regex.Pattern$$Lambda/0x800000028 (java.base@25)
 333:           256           4096  java.lang.Byte (java.base@25)
 334:           256           4096  java.lang.Short (java.base@25)
 335:           253           4048  org.springframework.core.type.classreading.SimpleAnnotationMetadataReadingVisitor$Source
 336:            84           4032  java.lang.invoke.BoundMethodHandle$Species_LLLL (java.base@25)
 337:            72           4032  org.springframework.web.servlet.mvc.method.RequestMappingInfo
 338:           100           4000  java.lang.invoke.VarHandle$AccessDescriptor (java.base@25)
 339:            83           3984  java.lang.StackTraceElement (java.base@25)
 340:           200           3960  [Lcom.sun.jmx.mbeanserver.MXBeanMapping; (java.management@25)
 341:           123           3936  com.flashchat.chatservice.audit.hander.SensitiveWordAuditHandler$DfaNode
 342:           163           3912  java.util.concurrent.CompletableFuture (java.base@25)
 343:            97           3880  com.sun.management.internal.DiagnosticCommandArgumentInfo (jdk.management@25)
 344:           131           3848  [Ljava.util.regex.Pattern$Node; (java.base@25)
 345:            80           3840  org.springframework.web.util.pattern.PathPattern
 346:            40           3840  sun.nio.ch.WEPollSelectorImpl (java.base@25)
 347:           159           3816  org.springframework.boot.origin.TextResourceOrigin
 348:           159           3816  org.springframework.boot.origin.TextResourceOrigin$Location
 349:           158           3792  java.time.LocalTime (java.base@25)
 350:            67           3752  com.mysql.cj.conf.StringPropertyDefinition
 351:           117           3744  javax.management.ObjectName (java.management@25)
 352:           153           3672  org.apache.ibatis.mapping.ParameterMap
 353:           153           3672  org.springframework.boot.autoconfigure.condition.OnClassCondition
 354:           152           3648  org.springframework.boot.loader.zip.ZipContent$Source
 355:            91           3640  ch.qos.logback.core.status.InfoStatus
 356:           227           3632  java.lang.Character (java.base@25)
 357:           151           3624  java.util.jar.Manifest (java.base@25)
 358:           151           3624  jdk.internal.loader.URLClassPath$Loader (java.base@25)
 359:           151           3624  org.springframework.boot.loader.jar.ManifestInfo
 360:           151           3624  org.springframework.boot.loader.net.protocol.nested.NestedLocation
 361:            50           3600  org.apache.catalina.connector.InputBuffer
 362:            50           3600  org.apache.coyote.http11.filters.ChunkedInputFilter
 363:           150           3600  org.apache.tomcat.util.http.MimeHeaders
 364:            50           3600  org.apache.tomcat.util.http.Parameters
 365:            64           3584  org.hibernate.validator.internal.util.ConcurrentReferenceHashMap$Segment
 366:           104           3512  [[C (java.base@25)
 367:           146           3504  java.util.concurrent.ConcurrentLinkedQueue (java.base@25)
 368:            54           3456  javax.management.openmbean.OpenMBeanAttributeInfoSupport (java.management@25)
 369:            85           3400  java.io.ObjectStreamField (java.base@25)
 370:           105           3360  com.fasterxml.jackson.core.io.SerializedString
 371:           105           3360  com.fasterxml.jackson.databind.type.TypeBindings
 372:           210           3360  java.nio.channels.spi.AbstractInterruptibleChannel$1 (java.base@25)
 373:            70           3360  org.springframework.beans.PropertyValue
 374:            64           3320  [Ljavax.management.MBeanAttributeInfo; (java.management@25)
 375:           103           3296  com.fasterxml.jackson.databind.introspect.AnnotatedField
 376:            27           3240  com.alibaba.fastjson2.writer.FieldWriterStringMethod
 377:           100           3200  [Lorg.apache.coyote.http11.InputFilter;
 378:           100           3200  [Lorg.apache.coyote.http11.OutputFilter;
 379:            40           3200  com.fasterxml.jackson.databind.deser.impl.MethodProperty
 380:            50           3200  org.apache.catalina.connector.OutputBuffer
 381:            50           3200  org.apache.catalina.connector.Response
 382:            99           3168  org.springframework.boot.context.properties.source.ConfigurationProperty
 383:            78           3120  com.alibaba.fastjson2.JSONWriter$Path
 384:            39           3120  com.fasterxml.jackson.databind.util.internal.PrivateMaxEntriesMap
 385:            96           3072  com.mysql.cj.conf.IntegerProperty
 386:           128           3072  io.netty.buffer.IntPriorityQueue
 387:           128           3072  java.security.Permissions (java.base@25)
 388:            64           3072  org.apache.ibatis.ognl.ASTProperty
 389:           127           3048  sun.reflect.generics.tree.Wildcard (java.base@25)
 390:           126           3024  [Lorg.apache.ibatis.ognl.Node;
 391:            63           3024  javax.management.MBeanInfo (java.management@25)
 392:            21           3024  sun.nio.ch.DatagramChannelImpl (java.base@25)
 393:            47           3008  io.netty.channel.ChannelOutboundBuffer
 394:            47           3008  io.netty.channel.DefaultChannelPipeline$HeadContext
 395:            94           3008  java.net.InetAddress$InetAddressHolder (java.base@25)
 396:            94           3008  org.springframework.util.MimeType
 397:           125           3000  com.baomidou.mybatisplus.core.toolkit.support.ColumnCache
 398:           124           2976  org.apache.ibatis.scripting.xmltags.DynamicSqlSource
 399:           185           2960  java.util.regex.Pattern$$Lambda/0x800000027 (java.base@25)
 400:           123           2952  java.lang.module.ModuleDescriptor$Provides (java.base@25)
